date,timestamp,update_timestamp,forecast_date,forecast_timestamp,forecast_summary,forecast_text,forecast_code,wind_speed_high,wind_speed_low,wind_direction,relative_humidity_high,relative_humidity_low,temperature_high,temperature_low
2022-01-03,2022-01-03T05:06:00+08:00,2022-01-03T05:32:16+08:00,2022-01-04,2022-01-04T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNW,95.0,65.0,32.0,24.0
2022-01-03,2022-01-03T05:06:00+08:00,2022-01-03T05:32:16+08:00,2022-01-05,2022-01-05T00:00:00+08:00,Occasionally windy. Late afternoon and evening thundery showers.,Thundery Showers,TL,30.0,15.0,NNW,95.0,65.0,33.0,24.0
2022-01-03,2022-01-03T05:06:00+08:00,2022-01-03T05:32:16+08:00,2022-01-06,2022-01-06T00:00:00+08:00,Late afternoon and evening thundery showers.,Thundery Showers,TL,20.0,15.0,NNW,95.0,65.0,33.0,24.0
2022-01-03,2022-01-03T05:06:00+08:00,2022-01-03T05:32:16+08:00,2022-01-07,2022-01-07T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,15.0,NNE,95.0,65.0,33.0,24.0
2022-01-03,2022-01-03T17:04:00+08:00,2022-01-03T17:32:12+08:00,2022-01-04,2022-01-04T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNW,95.0,65.0,33.0,24.0
2022-01-03,2022-01-03T17:04:00+08:00,2022-01-03T17:32:12+08:00,2022-01-05,2022-01-05T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,NNW,95.0,65.0,33.0,24.0
2022-01-03,2022-01-03T17:04:00+08:00,2022-01-03T17:32:12+08:00,2022-01-06,2022-01-06T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,N,95.0,65.0,33.0,24.0
2022-01-03,2022-01-03T17:04:00+08:00,2022-01-03T17:32:12+08:00,2022-01-07,2022-01-07T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,15.0,NNW,95.0,65.0,34.0,24.0
2022-01-04,2022-01-04T05:13:00+08:00,2022-01-04T05:32:12+08:00,2022-01-05,2022-01-05T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,NNW,95.0,65.0,33.0,24.0
2022-01-04,2022-01-04T05:13:00+08:00,2022-01-04T05:32:12+08:00,2022-01-06,2022-01-06T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,N,95.0,65.0,34.0,24.0
2022-01-04,2022-01-04T05:13:00+08:00,2022-01-04T05:32:12+08:00,2022-01-07,2022-01-07T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,15.0,NNW,95.0,65.0,34.0,24.0
2022-01-04,2022-01-04T05:13:00+08:00,2022-01-04T05:32:12+08:00,2022-01-08,2022-01-08T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,95.0,65.0,34.0,24.0
2022-01-04,2022-01-04T17:05:00+08:00,2022-01-04T17:32:12+08:00,2022-01-05,2022-01-05T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,NNW,95.0,65.0,33.0,24.0
2022-01-04,2022-01-04T17:05:00+08:00,2022-01-04T17:32:12+08:00,2022-01-06,2022-01-06T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,N,95.0,65.0,33.0,24.0
2022-01-04,2022-01-04T17:05:00+08:00,2022-01-04T17:32:12+08:00,2022-01-07,2022-01-07T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,15.0,NNW,95.0,65.0,34.0,24.0
2022-01-04,2022-01-04T17:05:00+08:00,2022-01-04T17:32:12+08:00,2022-01-08,2022-01-08T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,95.0,65.0,34.0,24.0
2022-01-05,2022-01-05T04:52:00+08:00,2022-01-05T05:02:11+08:00,2022-01-06,2022-01-06T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,N,95.0,65.0,33.0,24.0
2022-01-05,2022-01-05T04:52:00+08:00,2022-01-05T05:02:11+08:00,2022-01-07,2022-01-07T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,15.0,NNW,95.0,65.0,34.0,24.0
2022-01-05,2022-01-05T04:52:00+08:00,2022-01-05T05:02:11+08:00,2022-01-08,2022-01-08T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,95.0,65.0,34.0,24.0
2022-01-05,2022-01-05T04:52:00+08:00,2022-01-05T05:02:11+08:00,2022-01-09,2022-01-09T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,95.0,65.0,34.0,24.0
2022-01-05,2022-01-05T17:16:00+08:00,2022-01-05T17:32:12+08:00,2022-01-06,2022-01-06T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,N,95.0,65.0,33.0,24.0
2022-01-05,2022-01-05T17:16:00+08:00,2022-01-05T17:32:12+08:00,2022-01-07,2022-01-07T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,15.0,NNW,95.0,65.0,34.0,24.0
2022-01-05,2022-01-05T17:16:00+08:00,2022-01-05T17:32:12+08:00,2022-01-08,2022-01-08T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,95.0,65.0,34.0,24.0
2022-01-05,2022-01-05T17:16:00+08:00,2022-01-05T17:32:12+08:00,2022-01-09,2022-01-09T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,95.0,65.0,34.0,24.0
2022-01-06,2022-01-06T05:03:00+08:00,2022-01-06T05:32:12+08:00,2022-01-07,2022-01-07T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,15.0,NNW,95.0,65.0,34.0,24.0
2022-01-06,2022-01-06T05:03:00+08:00,2022-01-06T05:32:12+08:00,2022-01-08,2022-01-08T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,95.0,65.0,34.0,24.0
2022-01-06,2022-01-06T05:03:00+08:00,2022-01-06T05:32:12+08:00,2022-01-09,2022-01-09T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,95.0,65.0,34.0,24.0
2022-01-06,2022-01-06T05:03:00+08:00,2022-01-06T05:32:12+08:00,2022-01-10,2022-01-10T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,30.0,15.0,NNE,95.0,60.0,34.0,24.0
2022-01-06,2022-01-06T17:15:00+08:00,2022-01-06T17:32:12+08:00,2022-01-07,2022-01-07T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,20.0,15.0,N,85.0,60.0,34.0,24.0
2022-01-06,2022-01-06T17:15:00+08:00,2022-01-06T17:32:12+08:00,2022-01-08,2022-01-08T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,85.0,60.0,34.0,24.0
2022-01-06,2022-01-06T17:15:00+08:00,2022-01-06T17:32:12+08:00,2022-01-09,2022-01-09T00:00:00+08:00,Occasionally windy. Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,85.0,60.0,34.0,24.0
2022-01-06,2022-01-06T17:15:00+08:00,2022-01-06T17:32:12+08:00,2022-01-10,2022-01-10T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,85.0,60.0,34.0,24.0
2022-01-07,2022-01-07T05:13:00+08:00,2022-01-07T05:32:12+08:00,2022-01-08,2022-01-08T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,85.0,60.0,34.0,24.0
2022-01-07,2022-01-07T05:13:00+08:00,2022-01-07T05:32:12+08:00,2022-01-09,2022-01-09T00:00:00+08:00,Occasionally windy. Afternoon thundery showers.,Thundery Showers,TL,25.0,15.0,NNE,85.0,60.0,34.0,24.0
2022-01-07,2022-01-07T05:13:00+08:00,2022-01-07T05:32:12+08:00,2022-01-10,2022-01-10T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,85.0,60.0,34.0,24.0
2022-01-07,2022-01-07T05:13:00+08:00,2022-01-07T05:32:12+08:00,2022-01-11,2022-01-11T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NE,90.0,65.0,33.0,24.0
2022-01-07,2022-01-07T17:21:00+08:00,2022-01-07T17:32:12+08:00,2022-01-08,2022-01-08T00:00:00+08:00,Afternoon thundery showers.,Thundery Showers,TL,25.0,10.0,NE,90.0,55.0,34.0,24.0
2022-01-07,2022-01-07T17:21:00+08:00,2022-01-07T17:32:12+08:00,2022-01-09,2022-01-09T00:00:00+08:00,Occasionally windy. Afternoon thundery showers,Thundery Showers,TL,25.0,15.0,NNE,90.0,55.0,34.0,24.0
2022-01-07,2022-01-07T17:21:00+08:00,2022-01-07T17:32:12+08:00,2022-01-10,2022-01-10T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-07,2022-01-07T17:21:00+08:00,2022-01-07T17:32:12+08:00,2022-01-11,2022-01-11T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-08,2022-01-08T05:19:00+08:00,2022-01-08T05:32:12+08:00,2022-01-09,2022-01-09T00:00:00+08:00,Occasionally windy. Afternoon thundery showers,Thundery Showers,TL,25.0,10.0,NE,90.0,55.0,33.0,24.0
2022-01-08,2022-01-08T05:19:00+08:00,2022-01-08T05:32:12+08:00,2022-01-10,2022-01-10T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-08,2022-01-08T05:19:00+08:00,2022-01-08T05:32:12+08:00,2022-01-11,2022-01-11T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-08,2022-01-08T05:19:00+08:00,2022-01-08T05:32:12+08:00,2022-01-12,2022-01-12T00:00:00+08:00,Fair and windy,Windy,WD,30.0,20.0,NNE,85.0,55.0,33.0,24.0
2022-01-08,2022-01-08T17:41:00+08:00,2022-01-08T18:02:12+08:00,2022-01-09,2022-01-09T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,10.0,NNE,90.0,55.0,33.0,24.0
2022-01-08,2022-01-08T17:41:00+08:00,2022-01-08T18:02:12+08:00,2022-01-10,2022-01-10T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-08,2022-01-08T17:41:00+08:00,2022-01-08T18:02:12+08:00,2022-01-11,2022-01-11T00:00:00+08:00,Fair and windy,Windy,WD,25.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-08,2022-01-08T17:41:00+08:00,2022-01-08T18:02:12+08:00,2022-01-12,2022-01-12T00:00:00+08:00,Fair and windy,Windy,WD,30.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-09,2022-01-09T03:48:00+08:00,2022-01-09T04:02:11+08:00,2022-01-10,2022-01-10T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-09,2022-01-09T03:48:00+08:00,2022-01-09T04:02:11+08:00,2022-01-11,2022-01-11T00:00:00+08:00,Fair and windy,Windy,WD,25.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-09,2022-01-09T03:48:00+08:00,2022-01-09T04:02:11+08:00,2022-01-12,2022-01-12T00:00:00+08:00,Fair and windy,Windy,WD,30.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-09,2022-01-09T03:48:00+08:00,2022-01-09T04:02:11+08:00,2022-01-13,2022-01-13T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-09,2022-01-09T17:35:00+08:00,2022-01-09T18:02:12+08:00,2022-01-10,2022-01-10T00:00:00+08:00,Fair and windy,Windy,WD,30.0,15.0,NNE,85.0,55.0,33.0,24.0
2022-01-09,2022-01-09T17:35:00+08:00,2022-01-09T18:02:12+08:00,2022-01-11,2022-01-11T00:00:00+08:00,Fair and windy,Windy,WD,30.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-09,2022-01-09T17:35:00+08:00,2022-01-09T18:02:12+08:00,2022-01-12,2022-01-12T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-09,2022-01-09T17:35:00+08:00,2022-01-09T18:02:12+08:00,2022-01-13,2022-01-13T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-10,2022-01-10T05:28:00+08:00,2022-01-10T06:02:12+08:00,2022-01-11,2022-01-11T00:00:00+08:00,Fair and windy,Windy,WD,30.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-10,2022-01-10T05:28:00+08:00,2022-01-10T06:02:12+08:00,2022-01-12,2022-01-12T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-10,2022-01-10T05:28:00+08:00,2022-01-10T06:02:12+08:00,2022-01-13,2022-01-13T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-10,2022-01-10T05:28:00+08:00,2022-01-10T06:02:12+08:00,2022-01-14,2022-01-14T00:00:00+08:00,Windy. Afternoon passing showers,Passing Showers,PS,30.0,20.0,NNE,90.0,55.0,33.0,24.0
2022-01-10,2022-01-10T17:07:00+08:00,2022-01-10T17:32:12+08:00,2022-01-11,2022-01-11T00:00:00+08:00,Fair and windy,Windy,WD,30.0,15.0,NNE,85.0,55.0,34.0,24.0
2022-01-10,2022-01-10T17:07:00+08:00,2022-01-10T17:32:12+08:00,2022-01-12,2022-01-12T00:00:00+08:00,Fair and windy,Windy,WD,30.0,15.0,NNE,85.0,55.0,34.0,24.0
